Gremio/empresa interesada,Pais,Producto,Tipo,Ingreso de Solicitud, Inicio,Fecha ultima gestión,Fecha apertura,Estado,Observaciones
,Brasil,Hamburguesas,Apertura,,,10/02/2017,,Pendiente Mapa,"10.02.17 en carta SAG N°1028/2017, se responde oficio N°0747/201/DNSF/SRI/MAPA, respecto a los requisitos sanitarios para la importación de carne y productos de carne de aves, cerdos y bovinos. Remite  3 propuestas de actualización de modelos de certificación, y que además puedan utilizarse para  la exportación de hamburguesas"
,Brasil,Nugget ,Apertura,,21/11/2014,17/07/2015,,Pendiente SAG,Solo podrá exportarse hamburguesas o Nuggets de pollo utilizado el certificado acordado para  exportar carne o productos en base a carne de aves y menudencias de aves desde a Chile a Brasil cuando el producto no contenga carne extraída mecánicamente ADM). Si el producto está elaborado con ADM este no podrá contener más de un 30% de esta materia prima y deberá ser certificado bajo los requerimientos de productos termoprocesados. Falta enviar propuesta de CZE para su validación.
,Brasil,Productos alimentación animal,Apertura,,8/03/2016,8/03/2016,,Pendiente MAPA,"08.03.16  A través de carta SAG N°1447/2016, se señala el interés de exportar insumos de origen marino y vegetal y  se solicitan al MAPA los requisitos de exportación."
ASPROCER/ APA,Brasil,Cuero bovino curtido,,,1/03/2015,,Jul-15,Finalizado.,"16.07.15 se recibe de parte de AA el oficio N° 0844 que formaliza que no es necesario la presentación del Certificado Zoosanitario para ingreso del producto en Brasil, pues el proceso de curtimiento posee la capacidad de destruir agente infeccioso de enfermedades transmisibles a los rebaños nacionales."
,El Libano,"Carne, carne procesada y preparados carnicos bovino y ovinos",Facilitación/ habilitacion,Gremio y otros,1/06/2013,1/07/2016,,Pendiente Libano,"8 de junio de 2014 se acuerdan CZE.  AGROMARIN aprobado.A inicios de marzo, DPP solicita confirmar que el CZE se extiende para visceras comestibles.Consulta enviada en julio 2016. "
,El Libano,"Carne, carne procesada y preparados carnicos de ave",Facilitación/ habilitacion,CCI 2015-2016,1/06/2013,16/11/2016,,Pendiente El Libano,"El 20 enero la Embajada de Chile en El Líbano, informa de la entrega de los documentos  de Faenadora Lo Miranda y Faenadora San Vicente al Departamento de Exportación e Importación del Ministerio de Agricultura de El Líbano.  Posteriormente, el Libano indica que la documentación esta incompleta.                                                                                                                                      Posteriormente, se insiste en repetidas ocasiones a DPP por la información, la cual indica que se ha solicitado a región y no es remitida. En noviembre 2016, se remite a APA para apoyo."
,Jordania,Leche y productos lacteos,Facilitación,Gremio,20/02/2015,26/08/2016,,Pendiente Jordania,"El 19 de mayo de 2014 se recibe Nota Nro. 24/303/22777 del MINREL de Jordania, informando la validez del CZE para estos productos. El 26 de agosto, DIRECON remite Carta del Ministerio de Agricultura, en la cual se presenta a SAG como la Autoridad Zoosanitaria y se solicitan punto de contacto para continuar negociaciones. "
,Indonesia,Carne de cerdo,Apertura,CCI 2016-2017,,1/09/2016,,Pendiente SAG,Se incia respuesta cuestionario Se ha solicitado que AA informe potencial comercial entre carne de cerdos y lacteos para evaluar redefinir prioridad.
,Indonesia,Carne bovina,Apertura,Gremio,1/01/2013,,Jul-15,"Detenido, halal 100%", De acuerdo a los requisitos de Indonesia el establecimiento debe ser 100% halal. No existe factibilidad en la actualidad para cumplir con este requisito
Agromarin,Irán ,Carne ovina,Apertura,Privado,1/11/2016,25/01/2017,,Pendiente Irán ,"A traves de Carta N° 418/2017del DN del SAG se informa interes de exportar carne, subproductos y preparados carnicos de las especies bovina,  ovina y aviar a la República Islámica de Irán, se adjuntan modelos de CZE para éstas mercancías.   "
,Malasia,Lacteos,,,1/09/2014,31/08/2015,Aug-15,Detenido gremio no contesta. CZE acoradado en abril 2015.,"Una vez acordado el CZE, durante marzo de 2015 se remite vía mail a las regiones y a EXPORLAC los cuestionarios correspondientes a  los establecimientos, se informa que  la autorización de los establecimientos es de tipo directa, por lo cual una delegación oficial de Malasia ha de visitar los establecimientos . Gremio desiste por el costo"
,Jordania,Carne y subproductos bovinos,Facilitación,CCI 2014-2015,20/02/2015,26/08/2016,,Pendiente Jordania,"El 7 de octubre 2015 se recibe Nota Ministerio de Asuntos Exteriores del Reino de Jordania N° 24/322/37370, en la cual aprueba el CZE para carne y subproductos de bovino.El 20 de enero de 2016, se recibe el listado de establecimientos interesados en exportar a este mercado (CZE acordado). Una vez se reciba respuesta sobre la habilitación de establecimientos lacteos y ovinos se continuará.El 26 de agosto, DIRECON remite Carta del Ministerio de Agricultura, en la cual se presenta a SAG como la Autoridad Zoosanitaria y se solicitan punto de contacto para continuar negociaciones. "
,Singapur,Equinos vivos,Apertura,,1/06/2015,22/06/2016,,Pendiente SAG,"Pendiente SAG. Cuestionario finalizado, DPP está solicitando apoyo a los privados para traducción"
,Singapur,Miel y prod. Colmena para consumo humano,Apertura,,1/07/2016,8/07/2016,,Pendiente SAG,"El 8 de julio 2016, AVA (via mail) indica que la miel es considerada un producto procesado y se informa procedimiento de internación.  "
FAENACAR ,Tailandia,Leche y porductos lacteos,Apertura,,1/12/2015,21/03/2017,,Pendiente Tailandia,"El 22 de marzo de 2016 vía Carta SAG N° 1780.2016, se solicitan las exigencias sanitarias, procedimientos  para importar estos productos y proceso de autorización de establecimientos. El 08.02.2017 a traves de carta SAG N° 942 se insiste en respuesta.  El 21 de marzo 2017, se insiste en reunión informal en el marco del  Comite MSF de la OMC."
,Jordania,Carne y subproductos ovinos,Facilitación,CCI 2014-2015,14/05/2014,26/08/2016,,Pendiente Jordania,"El 7 de octubre 2015 se recibe Nota Ministerio de Asuntos Exteriores del Reino de Jordania N° 24/322/37370, en la cual aprueba el CZE para carne y subproductos de bovino.El 20 de enero de 2016, se recibe el listado de establecimientos interesados en exportar a este mercado (CZE acordado). Una vez se reciba respuesta sobre la habilitación de establecimientos lacteos y ovinos se continuará.El 26 de agosto, DIRECON remite Carta del Ministerio de Agricultura, en la cual se presenta a SAG como la Autoridad Zoosanitaria y se solicitan punto de contacto para continuar negociaciones. "
,Tailandia,"Alimento para peces ""PROCHAETE FMR60""",Apertura,Privados,7/01/2016,7/01/2016,,Pendiente Tailandia,El 7 de enero 2016 se solicita a la Oficina Comercial de Chile en Tailandia gestionar exigencias para este producto.
,Malasia,Carne y subproductos de bovino,Apertura,,1/04/2011,,Dec-12,"Detenido, requisito Halal","En diciembre del 2012, Malasia responde informando la norma con los requisitos y solicitando información sobre los establecimientos interesados.
Malasia, al ser un país Musulmán solicita además de los requisitos zoosanitarios Certificación Halal. En este sentido, NO SE PUEDE CUMPLIR EL REQUISITO HALAL debido a que el JAKIM (autoridad religiosa en Malasia) requiere que la planta Faenadora tenga dedicación exclusiva a faena Halal.
"
,Indonesia,Lacteos,Apertura,Gremio,1/07/2012,24/01/2017,,Pendiente Indonesia,"Luego de haber analizado información referente a requistos halal, se determina por mercadista que no hay requitos halal para ciertos porductos, AA envia cuestionario. Se ha solicitado que AA informe potencial comercial entre carne de cerdos y lacteos para refinir prioridad. "
,Singapur,Carne ovina y bovina,Apertura,,1/04/2013,26/02/2017,,Pendiente AVA,"El 13 de diciembre 2016 a través de Carta SAG N° 6897/2016, se envía a AVA la información pertinente a dos establecimientos (Simunovic y Agromarin), se solicita informar a AVA una vez se reciban los antecedentes en Físico (Remitidos vía DIRECON). Adicionalmente, se consulta el estado de análisis de la información enviada el 2015, la que entregará las exigencias para exportar carne bovina y ovina a Singapur. El 30 de diciembre 2016, AVA confirma recepción de los dos cd’s con información de Simunovic y Agromari. En febrero 2017, se insiste a traves de carta 1017/2017.El 26 de febrero 2017, AVA  informa que la información se encuentran en evaluación."
,Tailandia,Cueros salados de varias especies,Apertura,,1/09/2013,21/03/2017,,Pendiente Tailandia,"El 8 de abril de 2016, DIRECON comunica los resultados de la reunión MSF realizada dentro del Acuerdo de Libre Comercio con Tailandia, sobre los cueros de diversas especies el Servicio Veterinario de Tailandia comentó que se ha demorado debido a cambios de normativa, se comprometió a enviar los antecedentes. El 08.02.2017 a traves de carta SAG N° 942 se insiste en respuesta.  El 21 de marzo 2017, se insiste en reunión informal en el marco del  Comite MSF de la OMC."
,Vietnam,Lacteos,Apertura,Gremio,setp-2012,20/09/2016,,Pendiente SAG,"El 12 de septiembre se solicita apoyo a la Embajada de Chile en Vietnam para traducir el CZE a idioma vietnamita (se recibe el 22 de septiembre). Actualmente en trámite de validación (gestión de DIRECON/Depto. Regulatorio). El 20 de septiembre se remite Nota de DPP a Exporlac, informando la documentación requerida para la certificación sanitaria."
,Vietnam,CUEROS DE CERDO Y EQUINO,Apertura,,sept-2013,15/11/2016,,Descartado por falta de interés. ,"El 21 de marzo 2017 y considerando que la empresa interesada en esta exportación (cuero equino, FRIGOCAL) no entrego la monografía de proceso traducida, DPP informa que se descarta de los temas de negociación."
,Arabia Saudita,Ovinos vivos destino faena,Apertura,,1/07/2016,,,Pendiente A. Saudita,"El 15 de julio 2016 a través de carta SAG N° 4386, se solicitan las exigencias zoosanitarias para el ingreso de ovinos vivos destino faena y bovinos vivos destinados a faena y engorda"
,Arabia Saudita,Bovinos vivos destino faena y engorda,Apertura,,1/07/2016,,,Pendiente A. Saudita,"El 15 de julio 2016 a través de carta SAG N° 4386, se solicitan las exigencias zoosanitarias para el ingreso de ovinos vivos destino faena y bovinos vivos destinados a faena y engorda"
,Arabia Saudita,Equinos: ingreso definitivo y temporal ,,,1/07/2016,28/08/2016,,Pendiente SAG,"El 28 de agosto a traves de Nota s/n, se reciben las exigencias de ingreso para equinos de manera definitiva y temporal. "
,Tailandia,Carne ovina y bovina,Apertura,FAENACAR,1/04/2013,21/03/2017,,Pendiente Tailandia,"El 8 de abril de 2016, DIRECON comunica los resultados de la reunión MSF realizada dentro del Acuerdo de Libre Comercio con Tailandia, sobre la carne de bovino y ovino  el Servicio Veterinario de Tailandia comento que se ha demorado debido a cambios de normativa, se comprometió a enviar los antecedentes.08.02.2017 a traves de carta SAG N° 942 se insiste en respuesta.  El 21 de marzo 2017, se insiste en reunión informal en el marco del  Comite MSF de la OMC."
,Emiratos Arábes,Cueros salados bovino,Apertura,Privados,15/05/2015,4/04/2016,1/11/2016,Abierto,"FINALIZADO. A traves de carta SAG N° 6552/2016, se confirma apertura a Emiratos y se agradece."
,Emiratos Arábes,Equinos vivos,Apertura,,1/07/2015,7/04/2016,,Pendiente E. Arábes,"El 30 de julio se envía nota SAG N° 4439/2015, en la cual se consulta por los requisitos para exportar equinos vivos de manera definitiva a los E. Árabes.El 7 de abril de 2016, la Oficina Comercial de Chile en EAU comunica que insistirá sobre este tema e informará si existen avances.


"
,Emiratos Arábes,Miel ,Apertura,,1/08/2016,4/05/2017,,Pendiente E. Arábes,"El 4 de agosto (Carta SAG N° 4778/2016), se envía propuesta de CZE para miel y productos apícolas consumo humano. El 4 de mayo 2017, se envía nota con nueva propuesta de CZE de acuerdo a lo requerido por E. Arabes."
ASPROCER,Tailandia,Carne de cerdo,Apertura,Gremio,1/09/2012,21/03/2017,,Pendiente Tailandia,"En septiembre de 2012 se envía cuestionario con la información requerida.El 8 de abril de 2016, DIRECON comunica los resultados de la reunión MSF realizada dentro del Acuerdo de Libre Comercio con Tailandia, sobre carne de cerdo se informa que en junio de 2016 se responderá la solicitud chilena.08.02.2017 a traves de carta SAG N° 942 se insiste en respuesta.  El 21 de marzo 2017, se insiste en reunión informal en el marco del  Comite MSF de la OMC."
,Malasia,Equinos vivos,Apertura,,1/06/2016,7/08/2016,,Pendiente Malasia," A través de Carta N° 3847/2016 se informa interés de parte de Chile en la exportación de equinos de forma definitiva a Malasia solicitándose los requisitos sanitarios que se deben cumplir para el ingreso de estos animales. El 7 de agosto se recibe copia de gestión de Prochile en Malasia, solicitando respuesta a DVS. "
,Vietnam,"Carne y subproductos de ave, cerdo, bovino y ovino",Apertura,Gremios,1/06/2009,15/03/2017,,Pendiente Vietnam. ,"27.01.2017: A traves de carta N° 637 se envian propuestas de CZE (3); listado de establecimientos que SAG considera como vigente que se indica en el siguiente link: http://www.nafiqad.gov.vn/foreign-agrofood-establisments-approved-for-export-products-to-viet-nam_t221c416n199; y se propone como fecha de visita el 27 de marzo y 7 de abril de 2017 o entre el 17 y 28 de abril del mismo año. En marzo 2017, Vietnam informa que no es posible realizar la visita de sistema en las fechas propuestas, por lo cual, comunicará en lo próximo su disponibilidad. Respecto a las propuestas de Certificados para estos productos, serán evaluados, siendo un factor la visita de inspección. "
,Vietnam,Harina de origen animal (para pienso),Regularización ,,28/12/2016,7/01/2017,,Pendiente Vietnam,"A traves de carta N° 112/2017 se envían modelos de CZE  que cubren a estos productos, y que fueron diseñados a partir de los requisitos señalados en  nota enviada Se adjunta modelo para:  Hemoglobina y Plasma de bovino en polvo,Hemoglobina y Plasma de cerdo en polvo,Harinas de plumas y otras harinas de origen aviar.
"
,Filipínas,Carne de ave y cerdo,Apertura,,1/10/2016,21/11/2016,,Pendiente Filipinas,"El 21 de noviembre 2016 se recibe Nota s/n del BAI, se comenta que existe un extenso listado de solicitudes de otros países y que se valuará a Chile posterior a ellos. Adicionalmente, informa que se ha de actualizar Anexo A y B para revisión y aprobación."
